1,Public administration in India,350.0954,"Maheshwari, S. R.",9-Aug-03
2,Public administration in India,350.0954,"Maheshwari, S. R.",9-Aug-03
3,Statistics: for business and economics,519.3,"Hooda, R. P.",22-Aug-03
4,Statistics: for business and economics,519.3,"Hooda, R. P.",22-Aug-03
5,Complete guide to DOS 6.22,5.43,"Norton, Peter",9-Aug-03
6,Complete guide to DOS 6.22,5.43,"Norton, Peter",19-Aug-03
7,Business mathematics,510,"Sancheti, D. C. and V. K. Kapoor",9-Aug-03
8,Business mathematics,510,"Sancheti, D. C. and V. K. Kapoor",19-Aug-03
9,Economic environment of business,330,"Adhikari, M.",9-Aug-03
10,Economic environment of business,330,"Adhikari, M.",22-Aug-03
11,Access 97(no experience required),5.8,"Robinson, Celeste",9-Aug-03
12,Access 97(no experience required),5.8,"Robinson, Celeste",2-Sep-03
13,Computer fundamentals,4,"Sinha, P. K.",9-Aug-03
14,Computer fundamentals,4,"Sinha, P. K.",9-Aug-03
15,An Introduction to database systems,5.74,"Date, C. J.",9-Aug-03
16,An Introduction to database systems,5.74,"Date, C. J.",2-Sep-03
17,Macroeconomic analysis,339,"Shapiro, Edward",9-Aug-03
18,Macroeconomic analysis,339,"Shapiro, Edward",27-Aug-03
19,Quantitative techniques in management,658,"Vohra, N. D.",9-Aug-03
20,Quantitative techniques in management (Tr. to LJP),658,"Vohra, N. D.",22-Aug-03
21,Statistics for management,310,"Levin, Richar I., Davind S. Rubin",9-Aug-03
22,Statistics for management,310,"Levin, Richar I.; Davind S. Rubin",29-Aug-03
23,An Introduction to accountancy,657,"Maheshwari, S. N. and S. K. Maheshwari",9-Aug-03
24,An Introduction to accountancy (Weed Out),657.046,"Maheshwari, S. N. and S. K. Maheshwari",22-Aug-03
25,Computer fundamentals: architecture and organisation,4,"Ram, B.",9-Aug-03
26,Computer fundamentals: architecture and organisation,4,"Ram, B.",19-Aug-03
27,Management,658,"Stoner, Freeman & Quilbert",9-Aug-03
28,Management,658,"Stoner, Freeman & Quilbert",19-Aug-03
29,Business communication today,658.45,"Bovee, Thrill and Schatzman",9-Aug-03
30,Business communication today,658.45,"Bovee, Thrill and Schatzman",21-Aug-03
31,"International management: culture, strategy and behaviour",658,"Hodgetts, Richard M.",9-Aug-03
32,"International management: culture, strategy and behaviour",658,"Hodgetts, Richard M.",3-Sep-03
33,Management: a global perspective,658,"Weihrich, Heinz",9-Aug-03
34,Management: a global perspective,658,"Weihrich, Heinz",9-Aug-03
35,Cost accounting: a managerial emphasis,657.42,"Horngren, Datar & Forter",22-Aug-03
36,Cost accounting: a managerial emphasis,657.42,"Horngren, Datar & Forter",22-Aug-03
37,Indian economy: problems of development and planning,330,"Agarwal, A. N.",9-Aug-03
38,Indian economy: problems of development and planning (Weed out),330,"Agarwal, A. N.",22-Aug-03
39,Introduction to computer science,4,"Govindaraja, S.",9-Aug-03
40,Introduction to computer science,4,"Govindaraja, S.",22-Aug-03
41,An Introduction to database systems,25.24,"Desai, Bipin C.",9-Aug-03
42,An Introduction to database systems,25.24,"Desai, Bipin C.",29-Aug-03
43,Accounting for management,658.1511,"Bhattarcharya, S. K.",29-Aug-03
44,Accounting for management,658.1511,"Bhattarcharya, S. K.",29-Aug-03
